-5.122025,-0.464050,9.607758,10.897682,-1.772537,-0.386154,-1.113449,2.128561
-3.996445,-1.651123,8.846603,9.846835,0.770111,0.093979,0.516327,0.931932
-4.406097,-0.455902,8.936340,9.973952,0.315384,-0.974777,-0.085617,1.028099
-1.586639,0.915894,9.523056,9.697674,0.660629,-0.817169,0.070770,1.053188
-0.926453,1.929733,9.126328,9.374009,0.284103,-0.743744,-0.069000,0.799144
-0.987946,1.607651,9.662552,9.845074,-0.216187,0.536850,0.592926,0.828556
-0.618500,1.336075,9.364883,9.479909,-0.057846,0.049500,0.396835,0.404073
-0.504837,1.637329,9.797516,9.946207,-0.044403,-0.124695,0.269897,0.300608
-0.089203,1.773239,8.602768,8.784074,0.090820,0.038513,0.169113,0.195783
0.382416,2.818665,9.458206,9.876678,0.035492,-0.068512,0.071014,0.104865
0.291260,3.406830,7.727966,8.450609,0.131638,0.028259,0.097641,0.166315
-1.026947,-0.699738,1.087631,1.651422,1.274185,-0.014389,0.711670,1.459530
0.877975,4.194534,17.718720,18.229591,-0.883728,-0.251404,-0.602036,1.098465
1.280441,1.563629,14.910248,15.046593,-0.554962,-0.355240,-0.009628,0.658992
0.863144,0.786682,8.308945,8.390617,-0.175140,0.209915,-0.071808,0.282657
0.077576,1.182221,9.197876,9.273866,0.293762,0.726578,0.236923,0.818745
-1.263123,1.708633,9.165802,9.408870,0.063950,0.430557,-0.105148,0.447800
